start,duration
2018-05-29T20:29:43.719478,3.033138
2018-05-29T20:29:46.752616,3.025713
2018-05-29T20:29:49.778329,3.020045
2018-05-29T20:29:52.798374,3.031233
2018-05-29T20:29:55.829607,3.151654
2018-05-29T20:29:58.981261,3.048832
2018-05-29T20:30:02.030093,3.036528
2018-05-29T20:30:05.066621,3.045027
2018-05-29T20:30:08.111648,3.028286
2018-05-29T20:30:11.139934,3.022019
2018-05-29T20:30:14.161953,3.036771
2018-05-29T20:30:17.198724,3.056617
2018-05-29T20:30:20.255341,3.033138
2018-05-29T20:30:23.288479,3.032125
2018-05-29T20:30:26.320604,3.089988
2018-05-29T20:30:29.410592,3.02958
2018-05-29T20:30:32.440172,3.034529
2018-05-29T20:30:35.474701,3.034614
2018-05-29T20:30:38.510291,3.233445
2018-05-29T20:30:41.743736,3.039772
2018-05-29T20:30:44.783508,3.023854
2018-05-29T20:30:47.807362,3.035436
2018-05-29T20:30:50.842798,3.112114
2018-05-29T20:30:53.954912,3.031988
2018-05-29T20:30:56.986900,3.059117
2018-05-29T20:31:00.046017,3.029752
2018-05-29T20:31:03.075769,3.241004
2018-05-29T20:31:06.316773,3.136836
2018-05-29T20:31:09.453609,3.033245
2018-05-29T20:31:12.486854,3.055149
2018-05-29T20:31:15.542003,3.029958
2018-05-29T20:31:18.571961,3.024875
2018-05-29T20:31:21.596836,3.042243
2018-05-29T20:31:24.639079,3.032864
2018-05-29T20:31:27.671943,3.102944
2018-05-29T20:31:30.774887,3.019564
2018-05-29T20:31:33.794451,3.046407
2018-05-29T20:31:36.840858,3.020536
2018-05-29T20:31:39.861394,3.23526
2018-05-29T20:31:43.096654,3.0215
2018-05-29T20:31:46.118154,3.022916
2018-05-29T20:31:49.141070,3.030072
2018-05-29T20:31:52.171142,3.026659
2018-05-29T20:31:55.197801,3.022113
2018-05-29T20:31:58.219914,3.173377
2018-05-29T20:32:01.393291,3.136047
2018-05-29T20:32:04.529338,3.030712
2018-05-29T20:32:07.560050,3.035356
2018-05-29T20:32:10.595406,3.055568
2018-05-29T20:32:13.650974,3.029866
2018-05-29T20:32:16.680840,3.269807
2018-05-29T20:32:19.950647,3.021595
2018-05-29T20:32:22.972242,3.042894
2018-05-29T20:32:26.015136,3.016945
2018-05-29T20:32:29.032081,3.034672
2018-05-29T20:32:32.066753,3.039646
2018-05-29T20:32:35.106399,3.020259
2018-05-29T20:32:38.126658,3.0267
2018-05-29T20:32:41.153358,3.020253
2018-05-29T20:32:44.174581,3.026645
2018-05-29T20:32:47.201226,3.038227
2018-05-29T20:32:50.239453,3.044799
2018-05-29T20:32:53.284252,3.053176
2018-05-29T20:32:56.337428,3.027556
